Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
ridgure,0,1,test123,Male,Black,1
yakuza_xi,113978192,1,Shrike,Male,Brown,0
XxYumYumCookiexX,113824847,1,Matrix,Male,Red,0
Coolguykiddler,113823418,1,Dawnstar,Female,Black,0
Onlyalonelygirl,113821220,1,Morticia,Female,Black,0
Pantonyt,113755940,1,Nyx,Male,Brown,0
NeverTrustCorridors,113734921,1,Nibbles,Female,Black,0
tunac4pt0r,113445473,1,Shadow,Male,Black,0
nawtnotnewt,113385417,1,Sonar,Male,Brown,0
Vanerson,113329706,1,Blade,Male,Black,0
Minecraftgurl1416,113234325,1,Star,Female,Black,0
telephone135,113231751,1,Baxter,Male,Brown,0
KingJosiahGaming,113231713,1,Siren,Female,Red,0
Baronhelmutschnitzelnazi,113230083,1,Lucifer,Male,Black,0
tortleworfore,112947606,1,Ripmaw,Male,Black,0
TigerHobbes,112947562,1,Sade,Female,Brown,0
brycebanks09,112687734,1,Skylar,Female,Black,0
kaptainpokemon,112520929,1,Blade,Male,Black,0
Lucasofgamers,112057706,1,Indigo,Female,Brown,0
howtominecraft3,111706028,1,Raine,Female,Black,0
Bow_____down,111404776,1,Draculon,Male,Black,0
misardian,97927824,0,Butch,Male,Brown,0
AsapCatFTW,111310707,1,Dimitri,Male,Red,0
ryanhalligandangled,111085904,1,Char,Male,Black,0
sticken,111053028,1,Illumina,Female,Black,0
Runicskate,111049971,1,Violet,Female,Brown,0
Go_to_heaven_360,111049929,1,Skylar,Female,Black,0
laxerz,111045372,1,Sage,Female,Black,0
epicmanjo,111043291,1,Morticia,Female,Brown,0
average_revolutioncraftnl,110863400,1,Vulkan,Male,Black,0
Average_Kevin,110863040,1,Blues,Male,Black,0
FakeViral,110861397,1,Blues,Male,Brown,0
RobertRo8,110601887,1,Sade,Female,Red,0
chemsauce,110414724,1,Sabath,Male,Black,0
Jon192,110412466,1,Sade,Female,Black,0
captain_raost,110409693,1,Fuzz,Male,Brown,0
ilikenojuice,110399100,1,Nugget,Female,Black,0
hussein_12345ali,110192455,1,Nibbles,Female,Black,0
jenzie2003,110177753,1,Booboo,Male,Brown,0
idavelthoven,110133402,1,Vladimir,Male,Black,0
persentile123,110099250,1,Star,Female,Black,0
danzathepariah,110095454,1,Comet,Male,Brown,0
liberace99,110020359,1,Twilight,Female,Red,0
Buddergod1,110009118,1,Aine,Female,Black,0
Blizzzzz22222,110009082,1,Shrike,Male,Black,0
bannananugget22,110003839,1,Ash,Male,Brown,0
makerofchaos1,109993993,1,Nugget,Female,Black,0
Jilly_1234567,109993271,1,Rhyme,Female,Black,0
blacklivesdontmatteratall,109992112,1,Lucy,Female,Brown,0
Kawad771,109989845,1,Vulkan,Male,Black,0
Roguez13,109989826,1,Lucifer,Male,Black,0
thetimeking_01,109988031,1,Baxter,Male,Brown,0
Icywhitesam,109986079,1,Scarlett,Female,Red,0
Big_bad_tom,109679124,1,Dawnstar,Female,Black,0
dopeimminent,109674016,1,Lady,Female,Black,0
surprise_im_back1,108618441,0,Skylar,Female,Brown,0
Tsukemaru,109251384,1,Mirage,Female,Black,0
ball4ly,109151039,1,Flaps,Male,Black,0
moonman_42069,109147125,1,Abby,Female,Brown,0
akariharris12,109146698,1,Moonlight,Female,Black,0
Moonman_is_god,109146416,1,Mittens,Female,Black,0
Galaxyerror,108031606,1,Abby,Female,Brown,0
progamerdude101,107599016,1,Dawnstar,Female,Red,0
xmerciplaysmcx,106897095,1,Equinox,Female,Black,0
dinnertimeTV,106379878,1,Aine,Female,Black,0
Filipinoboi51,106379750,1,Dawnstar,Female,Brown,0
madbirdplayz,106372882,1,Skylar,Female,Black,0
sour_angry,106369628,1,Blues,Male,Black,0
McChoonce,106369481,1,Vulkan,Male,Brown,0
WillsonteCat,105351047,1,Screech,Male,Black,0
Sabbertron,105341616,1,Twilight,Female,Black,0
Tankdrath,105332308,1,Ripmaw,Male,Brown,0
Wrabbit4444,105217415,1,Darth,Male,Red,0
chrisandthemikerocks,103739138,1,Velvet,Female,Black,0
Temparmy,103737638,1,Angel,Female,Black,0
thoughtcheese8,103736699,1,Sage,Female,Brown,0
donteruis,103731283,1,Ruth,Female,Black,0
frzze,103720602,1,Screech,Male,Black,0
Shadow2500,103714996,1,Scarlett,Female,Brown,0
cooldude556690,103712546,1,Moonlight,Female,Black,0
young_twipz,102007326,1,Cole,Male,Black,0
brandon_richter,101478796,1,Cole,Male,Brown,0
dj_k1n6p1n,101474238,1,Flutters,Female,Black,0
sivetrexx,101471613,1,Spuds,Male,Red,0
matthewboi,98413093,1,Drake,Male,Black,0
x_Dragonbreath_x,83966672,0,Vamp,Male,Brown,0
brentrules,96559943,1,Rascal,Male,Black,0
redtech1020,96548684,1,Vulkan,Male,Black,0
justb911,96542658,1,Draculon,Male,Brown,0
catsbollocks,96377313,1,Nibbles,Female,Black,0
SplitRaid,96318859,1,Aura,Female,Black,0
xdestroybangerzx,95984266,1,Sage,Female,Brown,0
masterkiko2002,95299278,1,Butch,Male,Red,0
screamurrdreamurr,94850402,1,Skylar,Female,Black,0
barebaricgalaxy,94818422,1,Rhyme,Female,Black,0
manu_best123,94657800,1,Illumina,Female,Brown,0
megustatupeloelm,80154602,0,Mirage,Female,Black,0
roffaogflanderos,94301093,1,Vulkan,Male,Black,0
stormhauk,93480914,1,Orion,Male,Brown,0
laceymorbid,92598428,1,Velvet,Female,Black,0
yourij0,91584765,1,Cookie,Female,Black,0
ventoes_dad,91581768,1,Trixy,Female,Brown,0
dreamsonar,91576698,1,Nibbles,Female,Red,0
TheGloriousKimJongUn,91574216,1,Skylar,Female,Black,0
Kankub123,91498309,1,Midnight,Male,Black,0
Pepperboy2002,91295755,1,Baxter,Male,Brown,0
moonoi,91292462,1,Sonar,Male,Black,0
korosh2003,90086708,1,Trixy,Female,Black,0
kevinkuz9,90078571,1,Cerulean,Female,Brown,0
piponeilgrande,89754253,1,Abby,Female,Black,0
liighwind,89753984,1,Lucy,Female,Black,0
TheShrubb3ry,89740248,1,Wingnut,Male,Brown,0
mhansen5,89580390,1,Cerulean,Female,Red,0
sireotnn,89238953,1,Shrike,Male,Black,0
atoruiz01,89043395,1,Sade,Female,Black,0
laoola,89040066,1,Rhyme,Female,Brown,0
h8vs,89035780,1,Skye,Female,Black,0
Catinspecs,88969817,1,Sabath,Male,Black,0
VenganceCathy,88706033,1,Nibbles,Female,Brown,0
hellhome2011,88604960,1,Drake,Male,Black,0
harcashbreak,88504233,1,Equina,Female,Black,0
Enigmatax,88497174,1,Cookie,Female,Brown,0
atsukiyou,88440289,1,Angel,Male,Red,0
deadlykiwio0,88080972,1,Vladimir,Male,Black,0
Naemesis,87245163,1,Indigo,Female,Black,0
girlygirl731,87175440,1,Sonar,Male,Brown,0
erlendstendal,87167943,1,Orion,Male,Black,0
ha8r_,87167765,1,Moonlight,Female,Black,0
lividjoker420,86607773,1,Sona,Female,Brown,0
InDaBowl,72946935,0,Indigo,Female,Black,0
Bigunsbigmoney,81110590,0,Trixy,Female,Black,0
Doge1232311,85718518,1,Mittens,Female,Brown,0
MasterreinGames,85502336,1,Sabath,Male,Red,0
crmix,84806317,1,Fuzz,Male,Black,0
spectrumyt10,83580955,1,Nibbles,Female,Black,0
xaviordanger1738,82992903,1,Shine,Female,Brown,0
Majestic_lace,82982943,1,Butch,Male,Black,0
the_nerdster,82478238,1,Sage,Female,Black,0
Eggceptional,82478218,1,Cerulean,Female,Brown,0
itz_wofq,82371700,1,Darth,Male,Black,0
stalin_pepe,81780634,1,Midnight,Male,Black,0
BunnyPlayss,81773925,1,Butch,Male,Brown,0
