Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
ridgure,0,1,test123,Male,Black,1
yakuza_xi,110931328,1,Shrike,Male,Brown,0
XxYumYumCookiexX,110777983,1,Matrix,Male,Red,0
Coolguykiddler,110776554,1,Dawnstar,Female,Black,0
Onlyalonelygirl,110774356,1,Morticia,Female,Black,0
Pantonyt,110709076,1,Nyx,Male,Brown,0
NeverTrustCorridors,110688057,1,Nibbles,Female,Black,0
tunac4pt0r,110398609,1,Shadow,Male,Black,0
nawtnotnewt,110338553,1,Sonar,Male,Brown,0
Vanerson,110282842,1,Blade,Male,Black,0
Minecraftgurl1416,110187461,1,Star,Female,Black,0
telephone135,110184887,1,Baxter,Male,Brown,0
KingJosiahGaming,110184849,1,Siren,Female,Red,0
Baronhelmutschnitzelnazi,110183219,1,Lucifer,Male,Black,0
tortleworfore,109900742,1,Ripmaw,Male,Black,0
TigerHobbes,109900698,1,Sade,Female,Brown,0
brycebanks09,109640870,1,Skylar,Female,Black,0
kaptainpokemon,109474065,1,Blade,Male,Black,0
Lucasofgamers,109010842,1,Indigo,Female,Brown,0
howtominecraft3,108659164,1,Raine,Female,Black,0
Bow_____down,108357912,1,Draculon,Male,Black,0
misardian,97927824,0,Butch,Male,Brown,0
AsapCatFTW,108263843,1,Dimitri,Male,Red,0
ryanhalligandangled,108039040,1,Char,Male,Black,0
sticken,108006164,1,Illumina,Female,Black,0
Runicskate,108003107,1,Violet,Female,Brown,0
Go_to_heaven_360,108003065,1,Skylar,Female,Black,0
laxerz,107998508,1,Sage,Female,Black,0
epicmanjo,107996427,1,Morticia,Female,Brown,0
average_revolutioncraftnl,107816536,1,Vulkan,Male,Black,0
Average_Kevin,107816176,1,Blues,Male,Black,0
FakeViral,107814533,1,Blues,Male,Brown,0
RobertRo8,107555023,1,Sade,Female,Red,0
chemsauce,107367860,1,Sabath,Male,Black,0
Jon192,107365602,1,Sade,Female,Black,0
captain_raost,107362829,1,Fuzz,Male,Brown,0
ilikenojuice,107352236,1,Nugget,Female,Black,0
hussein_12345ali,107145591,1,Nibbles,Female,Black,0
jenzie2003,107130889,1,Booboo,Male,Brown,0
idavelthoven,107086538,1,Vladimir,Male,Black,0
persentile123,107052386,1,Star,Female,Black,0
danzathepariah,107048590,1,Comet,Male,Brown,0
liberace99,106973495,1,Twilight,Female,Red,0
Buddergod1,106962254,1,Aine,Female,Black,0
Blizzzzz22222,106962218,1,Shrike,Male,Black,0
bannananugget22,106956975,1,Ash,Male,Brown,0
makerofchaos1,106947129,1,Nugget,Female,Black,0
Jilly_1234567,106946407,1,Rhyme,Female,Black,0
blacklivesdontmatteratall,106945248,1,Lucy,Female,Brown,0
Kawad771,106942981,1,Vulkan,Male,Black,0
Roguez13,106942962,1,Lucifer,Male,Black,0
thetimeking_01,106941167,1,Baxter,Male,Brown,0
Icywhitesam,106939215,1,Scarlett,Female,Red,0
Big_bad_tom,106632260,1,Dawnstar,Female,Black,0
dopeimminent,106627152,1,Lady,Female,Black,0
surprise_im_back1,106388546,1,Skylar,Female,Brown,0
Tsukemaru,106204520,1,Mirage,Female,Black,0
ball4ly,106104175,1,Flaps,Male,Black,0
moonman_42069,106100261,1,Abby,Female,Brown,0
akariharris12,106099834,1,Moonlight,Female,Black,0
Moonman_is_god,106099552,1,Mittens,Female,Black,0
Galaxyerror,104984742,1,Abby,Female,Brown,0
progamerdude101,104552152,1,Dawnstar,Female,Red,0
xmerciplaysmcx,103850231,1,Equinox,Female,Black,0
dinnertimeTV,103333014,1,Aine,Female,Black,0
Filipinoboi51,103332886,1,Dawnstar,Female,Brown,0
madbirdplayz,103326018,1,Skylar,Female,Black,0
sour_angry,103322764,1,Blues,Male,Black,0
McChoonce,103322617,1,Vulkan,Male,Brown,0
WillsonteCat,102304183,1,Screech,Male,Black,0
Sabbertron,102294752,1,Twilight,Female,Black,0
Tankdrath,102285444,1,Ripmaw,Male,Brown,0
Wrabbit4444,102170551,1,Darth,Male,Red,0
chrisandthemikerocks,100692274,1,Velvet,Female,Black,0
Temparmy,100690774,1,Angel,Female,Black,0
thoughtcheese8,100689835,1,Sage,Female,Brown,0
donteruis,100684419,1,Ruth,Female,Black,0
frzze,100673738,1,Screech,Male,Black,0
Shadow2500,100668132,1,Scarlett,Female,Brown,0
cooldude556690,100665682,1,Moonlight,Female,Black,0
young_twipz,98960462,1,Cole,Male,Black,0
brandon_richter,98431932,1,Cole,Male,Brown,0
dj_k1n6p1n,98427374,1,Flutters,Female,Black,0
sivetrexx,98424749,1,Spuds,Male,Red,0
matthewboi,95366229,1,Drake,Male,Black,0
x_Dragonbreath_x,83966672,0,Vamp,Male,Brown,0
brentrules,93513079,1,Rascal,Male,Black,0
redtech1020,93501820,1,Vulkan,Male,Black,0
justb911,93495794,1,Draculon,Male,Brown,0
catsbollocks,93330449,1,Nibbles,Female,Black,0
SplitRaid,93271995,1,Aura,Female,Black,0
xdestroybangerzx,92937402,1,Sage,Female,Brown,0
masterkiko2002,92252414,1,Butch,Male,Red,0
screamurrdreamurr,91803538,1,Skylar,Female,Black,0
barebaricgalaxy,91771558,1,Rhyme,Female,Black,0
manu_best123,91610936,1,Illumina,Female,Brown,0
megustatupeloelm,80154602,0,Mirage,Female,Black,0
