Username,SubStreak,SubTier,GiftedSubs,GiftPoints,SubPoints,TotalElves,LastName,Elf1Name,Elf1Gender,Elf2Name,Elf2Gender,Elf3Name,Elf3Gender,Elf4Name,Elf4Gender,Elf5Name,Elf5Gender,Elf6Name,Elf6Gender
Kbigliar,1,1,12,17,1,18,CHAccepted,Kappa,Male,KappaRoss,Androgynous,KappaWealth,Androgynous,HolidayCookie,Androgynous,KappaClaus,Male,KappaPride,Female,DarkMode,androgynous,Keepo,female,ridgurHeart,male,riPepperonis,male,Squid1,male,Squid2,female,Squid3,female,Squid2,male,Squid4,androgynous,assin,male,RidgurKappa,androgynous,KappaCool,androgynous
NotedBinkie9727,1,1,0,0,1,1,Tipantdon,Aubrey,female
Kxnekiiiiii,2,1,0,0,1,1,Corellon,Paeris,androgynous
S4rc4sticIsland,1,1,0,0,1,1,Erugdir,Ridgure,male
Cirekon,20,1,0,0,1,1,FreeMoon,Morgan,male
Ridgure,12,3,0,0,6,6,Simserion,Alais,male,Avery,androgynous,Ievos,female,Aithlin,androgynous,Orndacil,female,Erolith,male
LilGamerHelle,23,1,0,0,1,1,Evindal,Halaena,androgynous
BananaPopsikul,1,1,,0,1,1,Squeaks,Luna,androgynous
MomDivine,1,1,,0,1,1,Lithelon,Miriel,female
Festivities,1,1,,0,1,1,Ridgure#1,Ridgure#1,female
Chachava,1,1,,0,1,1,Ipyllasc,Syviis,female
BugMacgregor,4,1,6,8,1,9,Beor,Phraan,male,Ievos,androgynous,Aelinor,androgynous,Avery,androgynous,Cluhurach,male,Irithiel,female,Kelkalyn,androgynous,Daealla,female,Iahalae,female
marsbars8795_za,1,1,,0,1,1,Moonflower,Paeral,male
Octostarx,1,3,,0,1,1,Wingglide,Enkidiu,male
Riboture,1,1,,0,1,1,Brightspear,Elowen,androgynous
DallDK,1,1,,0,1,1,Nightswatch,Dior,androgynous
Jarngeir,1,1,,0,1,1,Simserion,Cindertine,androgynous
Samasina,1,1,,0,1,1,Coudoarluth,Morgan,androgynous
Ember798,1,1,,0,1,1,Elassidil,Inarie,androgynous
LukesterGaming,1,1,,0,1,1,Nhaéslal,Elaran,male
WowoT,1,3,,0,6,6,Quendi,Aerendyl,male,Inarie,androgynous,Soliania,female,Myrynda,female,Alea,female,Alva,androgynous
QuirkyGeek17,1,1,,0,1,1,Yrauos,Iolas,male
