Username,FollowAge,IsFollower,BatName,BatGender,BatColor,0
Naemesis,79930,0,Archangel,Male,Black,0
girlygirl731,10207,0,Darth,Male,Black,0
erlendstendal,2710,0,Iris,Female,Brown,0
ha8r_,2532,0,Angel,Male,Black,0
lividjoker420,47340,0,Nugget,Female,Black,0
InDaBowl,24439,0,Sade,Female,Brown,0
Bigunsbigmoney,23409,0,Scarlett,Female,Black,0
Doge1232311,22085,0,Raine,Female,Black,0
MasterreinGames,65103,0,Skye,Female,Brown,0
crmix,60284,0,Giggles,Female,Red,0
spectrumyt10,44522,0,Dexter,Male,Black,0
xaviordanger1738,61270,0,Drake,Male,Black,0
Majestic_lace,51310,0,Comet,Male,Brown,0
the_nerdster,65005,0,Shine,Female,Black,0
Eggceptional,64985,0,Dexter,Male,Black,0
itz_wofq,44867,0,Skylar,Female,Brown,0
stalin_pepe,58601,0,Nightmare,Male,Black,0
BunnyPlayss,51892,0,Iris,Female,Black,0
xAurionZz,43315,0,Trixy,Female,Brown,0
bosspro1,48644,0,Rhyme,Female,Red,0
FearEmpty,61701,0,Dawnstar,Female,Black,0
midnight_phantom1,59174,0,Dawnstar,Female,Black,0
chromeking23,43629,0,Booboo,Male,Brown,0
hybridofficial,41214,0,Ivy,Female,Black,0
desiigner_1panda,41206,0,Shade,Female,Black,0
towerofpimps0603,35601,0,Trixy,Female,Brown,0
dRAGoNwinchester,41267,0,Spuds,Male,Black,0
cooljay118,39013,0,Mothra,Male,Black,0
LukesterGaming,75360,0,Moonlight,Female,Brown,0
TheLilocean_B,48004,0,Spectre,Male,Red,0
DarkChika,47980,0,Star,Female,Black,0
BloodDragon262626,47952,0,Flaps,Male,Black,0
SlothHipster,83967,0,Lucifer,Male,Brown,0
realkipisbae,56163,0,Cole,Male,Black,0
GamerGirlIcy,46754,0,Basil,Male,Black,0
Locoman101,39059,0,Morticia,Female,Brown,0
Rick_C_C_100,51068,0,Dawnstar,Female,Black,0
brickmountainfire,51051,0,Orion,Male,Black,0
LilGamerHelle,49920,0,Flaps,Male,Brown,0
jeremeister06,50452,0,Nugget,Female,Red,0
Lukerrino200,33763,0,Fuzz,Male,Black,0
wcarterh,33268,0,Star,Female,Black,0
Flo1489,948,0,Spuds,Male,Brown,0
Clawsom,44499,0,Violet,Female,Black,0
IAmTonyAMA,67164,0,Lucifer,Male,Black,0
captain_lxgan,52337,0,Nugget,Female,Brown,0
lolcatface4562,50177,0,Moon,Male,Black,0
ilovry,38646,0,Rhyme,Female,Black,0
Urodriguez3,49409,0,Dexter,Male,Brown,0
shiftymurderess,46624,0,Baxter,Male,Black,0
wittyguycific,73844,0,Morticia,Female,Red,0
Firefly405,51893,0,Rhyme,Female,Black,0
MelodyofWolf,55301,0,Lucifer,Male,Brown,0
Jibbadizer,41057,0,Azar,Male,Black,0
PhatMale,37312,0,Azurys,Female,Black,0
xSCRAPx,53340,0,Dot,Female,Brown,0
vanheestbeest,30012,0,Aura,Female,Black,0
RandomMarieChick,58212,0,Draculon,Male,Black,0
aileeplays,48304,0,Blues,Male,Brown,0
mrkingthink1,44478,0,Char,Male,Red,0
foxzoolm,40862,0,Blues,Male,Black,0
rezgod666jr,62096,0,Aura,Female,Black,0
cincy_moto,61137,0,Drake,Male,Brown,0
zigersquad,53748,0,Fuzz,Male,Black,0
jayfeather_12_7,73966,0,Echo,Female,Black,0
themememic,796,0,Fuzz,Male,Brown,0
the_vytcka,71657,0,Sonar,Male,Black,0
SkippyLT,71654,0,Grey,Male,Black,0
lunx_tremor,24015,0,Mothra,Male,Brown,0
killer69691010,23929,0,Equina,Female,Red,0
Manicminer51,19993,0,Haze,Female,Black,0
mrderpy01,19129,0,Mothra,Male,Black,0
Lokbatch,13826,0,Blues,Male,Brown,0
cakepuppy89,56682,0,Violet,Female,Black,0
xXBryton,42057,0,Drake,Male,Black,0
mikeyhendry6,40720,0,Cerulean,Female,Brown,0
KatCallMe,43399,0,Abby,Female,Black,0
coreygamingcg,57885,0,Spectre,Male,Black,0
m0rrisson,37901,0,Haze,Female,Brown,0
Umbuku,8124,0,Scarlett,Female,Black,0
Kbigliar,76744,0,Dimitri,Male,Red,0
paxgp,21688,0,Nyx,Male,Black,0
SunniNorr,21488,0,Ash,Male,Brown,0
I_Love_Hu_Jass,81756,0,Flutters,Female,Black,0
addsis1,75937,0,Spectre,Male,Black,0
AshiesCorner,82068,0,Screech,Male,Brown,0
totallynotavoidingaban,69669,0,Dimitri,Male,Black,0
Cirekon,69032,0,Dimitri,Male,Black,1
cutesnowboardgirl,85189,0,Shrike,Male,Brown,0
IvanaBCroftin,76455,0,Screech,Male,Red,0
crowdctrltv,42663,0,Dimitri,Male,Black,0
ldikjfghdsfighsd,86196,0,Indigo,Female,Black,0
botdream4black2,81274,0,Equina,Female,Brown,0
levelupers,78165,0,Blade,Male,Black,0
Elias_Jen,64836,0,Wingnut,Male,Black,0
kermisfan1,9005,0,Draculon,Male,Brown,0
classicdgamer,6763,0,Ivy,Female,Black,0
Willie_Phisterbottom,6165,0,Twilight,Female,Black,0
Lungslife,6082,0,Darth,Male,Brown,0
AlphyTheGamer,70947,0,Sage,Female,Red,0
Mr_Waffle_man321,69409,0,Rhyme,Female,Black,0
rosie_cheeks,8837,0,Sage,Female,Black,0
kiah_linstrum,80011,0,Indigo,Female,Brown,0
deathkills3344,66188,0,Morning,Female,Black,0
