Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
pupgirl22,11531098,0,Dimitri,Male,Brown,0
kilderine,41281417,1,Cerulean,Female,Black,0
CerlsJnr,887237,0,Dawnstar,Female,Black,0
ztdiaz,35428462,1,Azar,Male,Brown,0
SirGrumples,35185776,1,Sage,Female,Black,0
puppygirl246810,35174802,1,Lucy,Female,Black,0
mike3292,35174760,1,Harmony,Female,Brown,0
mimimindy,35174726,1,Comet,Male,Red,0
thalion_pelargor,35114548,1,Nightmare,Male,Black,0
dutchtr0ll,3556790,0,Bandetta,Female,Black,0
liza_m,5254996,0,Shadow,Male,Brown,0
TheRevolver_13,34990475,1,Grey,Male,Black,0
riboture,2048806,0,Ivy,Female,Black,1
ririthepanda,11749929,0,cuddles,Female,Brown,0
puplova2014,33574124,1,Skylar,Female,Black,0
a_Kats,1870061,0,Flapper_Flop,Female,Black,0
MisterAcharyz,33574039,1,Lucifer,Male,Brown,0
vuth22,33041773,1,Baxter,Male,Red,0
a_lot_of_seaman,33031518,1,Scarlett,Female,Black,0
erugdir,1453310,0,Lucy,Female,Black,0
KillerHusky1231,32943612,1,Dexter,Male,Brown,0
snook35,32880439,1,Dawnstar,Female,Black,0
Shaydow_Jinxx,32875183,1,Dexter,Male,Black,0
Jax_Macky,32875134,1,Sage,Female,Brown,0
JakeD1999_,32875032,1,Rhyme,Female,Black,0
evjx2jqm,32873367,1,Impaler,Male,Black,0
TheCraftyDawg,32862390,1,Azar,Male,Brown,0
zzingerr_android,32860930,1,Ivy,Female,Red,0
julianrauh,32858847,1,Sade,Female,Black,0
leomar111,32858661,1,Aura,Female,Black,0
metikous,32857480,1,Echo,Female,Brown,0
uriah0805,3037061,0,Aine,Female,Black,0
yuhannxd,32855077,1,Archangel,Male,Black,0
Hailgamming,32853870,1,Echo,Female,Brown,0
Of_The_Goats,32853119,1,Flutters,Female,Black,0
S4rc4sticIsland,32851593,1,Giggles,Female,Black,0
mye36m3,32848217,1,Char,Male,Brown,0
EmberSummers798,277534,0,Blade,Male,Black,0
nevyncholerny,32841566,1,Velvet,Female,Red,0
jacquipitch,32789351,1,Blade,Male,Black,0
xx_im_dead_inside_xx,32786490,1,Lucifer,Male,Brown,0
farmer_andy123,32779567,1,Lucifer,Male,Black,0
MinecraftCoochie,212996,0,Ruth,Female,Black,0
screwtheipad,32778331,1,Cookie,Female,Brown,0
Kxnekiiiiii,10776612,0,Impaler,Male,Black,0
orignalzzgaming,32775401,1,Dawnstar,Female,Black,0
iiilaurxn,32773870,1,Dimitri,Male,Brown,0
specularmango56,32769855,1,Dimitri,Male,Red,0
eeeetes,32767130,1,Velvet,Female,Black,0
thequietestgirl,32758243,1,Nightmare,Male,Black,1
realcloudyplayz,94848759,1,Shade,Female,Brown,0
Agamnone,94757264,1,Dimitri,Male,Black,0
deejcoastal,69379591,1,Azurys,Female,Black,0
anconioHD,68005865,1,Rhyme,Female,Brown,0
SpaceCube26th,46175620,0,Indigo,Female,Black,0
Ember798,32843475,1,Vulkan,Male,Black,1
reninsane,32527668,1,Butch,Male,Brown,0
BananaPopsikul,32522176,1,Luna,Female,Black,0
shadowofmayhems,966741,0,Flaps,Male,Red,0
Lothrazar,32498655,1,Siren,Female,Black,0
okaybiscuit7528,2652836,0,Shadow,Male,Brown,0
SeeGlass,2652790,0,Mothra,Male,Black,0
unsafecoderedttv,766878,0,Aura,Female,Black,0
atalatala,32465323,1,Haze,Female,Brown,0
mikedixiewrecked,32465278,1,Nibbles,Female,Black,0
janijohns,32464513,1,Haze,Female,Black,0
you_drunkgohome,32463505,1,Cerulean,Female,Brown,0
beardedbuffalofann,32462345,1,Sade,Female,Red,0
xxshasowxx6092,32459635,1,Brutus,Male,Black,0
kupaliciousgaming,32340635,1,Orion,Male,Black,0
elis7272,17015717,0,Angel,Male,Brown,0
dominikpavlovic,32337341,1,Sabath,Male,Black,0
liamthelion12345,32335033,1,Ruth,Female,Black,0
brooklynthegamer4,32331241,1,Basil,Male,Brown,0
janoxplayz,17682111,0,Echo,Female,Black,0
gintaraszaza1,29726681,0,Trixy,Female,Black,0
ZodoTurtle,32326654,1,Archangel,Male,Brown,0
6demonai,32323043,1,Skylar,Female,Red,0
souba_2,32303925,1,Moonlight,Female,Black,0
Samasina,17626497,0,Morticia,Female,Black,0
tgf_guru,32267197,1,Shade,Female,Brown,0
candiesnotsfeetinyourmowt,32257705,1,Cole,Male,Black,0
faithlead,32248894,1,Basil,Male,Black,0
KAS_Sprmcy,12893100,0,Dimitri,Male,Brown,0
JB_Warsmith,32240316,1,Perturabo,Male,Black,0
LegendarySkar,32240284,1,Nightmare,Male,Black,0
jcgaming2645,2340374,0,Raine,Female,Brown,0
gbae13train24,32158758,1,Nightmare,Male,Black,0
slendermanirl,30423157,0,Lady,Female,Red,0
raven_does_twitch,17505576,0,Draculon,Male,Black,0
imaginemomos,10492389,0,Velvet,Female,Brown,0
sgtmack_,2327692,0,Matrix,Male,Black,0
Capn_Pain,2327647,0,Haze,Female,Black,0
koopadatroopa515,32146327,1,Lucy,Female,Brown,0
NeenSheep,32145418,1,Haze,Female,Black,0
illegaldoorknob,32145371,1,Impaler,Male,Black,0
Lord_Nykyrian,32145181,1,Angel,Male,Brown,0
fearzznorth,32144336,1,Haze,Female,Red,0
Steve081398,10489882,0,stevejr,Male,Black,0
AlavniGerkok2,32141195,1,Trixy,Female,Black,0
vault420jk,32137403,1,Wingnut,Male,Brown,0
benldb55,117626,0,Vladimir,Male,Black,0
lord_redd_da_wolf,31920605,1,Nibbles,Female,Black,0
dantryi,2101636,0,Nyx,Female,Brown,0
ishanplayz786,31917313,1,Vladimir,Male,Black,0
ttv_earthworm,31914662,1,Matrix,Male,Black,0
MalvernTheWarlock62,31907168,1,Wingnut,Male,Brown,0
jason_yeo,31906435,1,Wingnut,Male,Red,0
jj_mars08,2086472,0,Cerulean,Female,Black,0
seatires,1067698,0,Moonlight,Female,Black,0
cheezyburger101,17255145,0,Skylar,Female,Brown,0
am_night_love_12,31899865,1,Star,Female,Black,0
sosadvibes,31898256,1,Sabath,Male,Black,0
alkali_21,31898062,1,Ruth,Female,Brown,0
evelynm33,31896402,1,Trixy,Female,Black,0
icwalow_com543,31894752,1,Cole,Male,Black,0
kyledebomber,31893380,1,Violet,Female,Brown,0
diabmohd123,31893348,1,Shade,Female,Red,0
BatTech_419,2074092,0,Zharius,Female,Black,0
calzoneybone,31891825,1,Mittens,Female,Black,0
MrMKD,11808266,0,Vamp,Male,Brown,0
kewlxkneexgrow,46,0,Butch,Male,Black,0
lick_my_seaman382,503,0,Guano,Male,Black,0
SweetDashie,31829375,1,Dot,Female,Black,0
goldheartsgirl,18836,0,Dawnstar,Female,Brown,0
hunterr2x,31817903,1,Booboo,Male,Black,0
knee_gers1115,16,0,Mittens,Female,Black,0
pedopride911,1206,0,Mirage,Female,Brown,0
eye_swallow_come6262,31814509,1,Skylar,Female,Black,0
pewdiepiii,10267254,0,Giggles,Female,Black,0
GoldHeartsGirl,31822679,1,Sonar,Male,Brown,0
meshowskyy,31731105,1,Mirage,Female,Black,0
ShadowWolf260,74,0,Lockjaw,Male,Black,0
ineedfortniteinmylife,31722756,1,Booboo,Male,Brown,0
ice_swallow_come780,54,0,Drake,Male,Black,0
eddy49gaming,31714588,1,rango,Male,Black,0
zackplays1200,31713132,1,Dawnstar,Female,Brown,0
the_reaper245,31709815,1,Reaper,Male,Red,0
theSTINGIN,1890880,0,Equina,Female,Black,0
jambuttyjane,31709771,1,Sabath,Male,Black,0
PhoenixDK,17064855,0,Dimitri,Male,Brown,0
ProBearDog,17064847,0,Dot,Female,Black,0
BlueFlash1982,12888438,0,Flash,Male,Black,0
bryanmoreno38,31704457,1,Screech,Male,Brown,0
a_KATs,3755223,0,Ripmaw,Male,Black,0
UnsafecoderedttV,32470940,1,Ivy,Female,Black,0
PurplePixiePops,17049796,0,Star,Female,Brown,0
kaybandz12345,31651617,1,Skylar,Female,Red,0
goodandfreshsister,31649308,1,Nibbles,Female,Black,0
12brads12,31642591,1,Fuzz,Male,Black,0
tdogfrognana,31636716,1,Lucy,Female,Brown,0
MinecraftLover00053,31636701,1,Orion,Male,Black,0
aluvni_gerrkok,31636430,1,Giggles,Female,Black,0
iceallowgum,31635898,1,Giggles,Female,Brown,0
