Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
ridgure,0,1,bla,Male,Black,1
yakuza_xi,100580008,0,Shrike,Male,Brown,0
XxYumYumCookiexX,100426663,0,Matrix,Male,Red,0
Coolguykiddler,100425234,0,Dawnstar,Female,Black,0
Onlyalonelygirl,100423036,0,Morticia,Female,Black,0
Pantonyt,100357756,0,Nyx,Male,Brown,0
NeverTrustCorridors,100336737,0,Nibbles,Female,Black,0
tunac4pt0r,100047289,0,Shadow,Male,Black,0
nawtnotnewt,99987233,0,Sonar,Male,Brown,0
Vanerson,99931522,0,Blade,Male,Black,0
Minecraftgurl1416,99836141,0,Star,Female,Black,0
telephone135,99833567,0,Baxter,Male,Brown,0
KingJosiahGaming,99833529,0,Siren,Female,Red,0
Baronhelmutschnitzelnazi,99831899,0,Lucifer,Male,Black,0
tortleworfore,99549422,0,Ripmaw,Male,Black,0
TigerHobbes,99549378,0,Sade,Female,Brown,0
brycebanks09,99289550,0,Skylar,Female,Black,0
kaptainpokemon,99122745,0,Blade,Male,Black,0
Lucasofgamers,98659522,0,Indigo,Female,Brown,0
howtominecraft3,98307844,0,Raine,Female,Black,0
Bow_____down,98006592,0,Draculon,Male,Black,0
misardian,97912584,0,Butch,Male,Brown,0
AsapCatFTW,97912523,0,Dimitri,Male,Red,0
ryanhalligandangled,97687720,0,Char,Male,Black,0
sticken,97654844,0,Illumina,Female,Black,0
Runicskate,97651787,0,Violet,Female,Brown,0
Go_to_heaven_360,97651745,0,Skylar,Female,Black,0
laxerz,97647188,0,Sage,Female,Black,0
epicmanjo,97645107,0,Morticia,Female,Brown,0
average_revolutioncraftnl,97465216,0,Vulkan,Male,Black,0
Average_Kevin,97464856,0,Blues,Male,Black,0
FakeViral,97463213,0,Blues,Male,Brown,0
RobertRo8,97203703,0,Sade,Female,Red,0
chemsauce,97016540,0,Sabath,Male,Black,0
Jon192,97014282,0,Sade,Female,Black,0
captain_raost,97011509,0,Fuzz,Male,Brown,0
ilikenojuice,97000916,0,Nugget,Female,Black,0
hussein_12345ali,96794271,0,Nibbles,Female,Black,0
jenzie2003,96779569,0,Booboo,Male,Brown,0
idavelthoven,96735218,0,Vladimir,Male,Black,0
persentile123,96701066,0,Star,Female,Black,0
danzathepariah,96697270,0,Comet,Male,Brown,0
liberace99,96622175,0,Twilight,Female,Red,0
Buddergod1,96610934,0,Aine,Female,Black,0
Blizzzzz22222,96610898,0,Shrike,Male,Black,0
bannananugget22,96605655,0,Ash,Male,Brown,0
makerofchaos1,96595809,0,Nugget,Female,Black,0
Jilly_1234567,96595087,0,Rhyme,Female,Black,0
blacklivesdontmatteratall,96593928,0,Lucy,Female,Brown,0
Kawad771,96591661,0,Vulkan,Male,Black,0
Roguez13,96591642,0,Lucifer,Male,Black,0
thetimeking_01,96589847,0,Baxter,Male,Brown,0
Icywhitesam,96587895,0,Scarlett,Female,Red,0
Big_bad_tom,96280940,0,Dawnstar,Female,Black,0
dopeimminent,96275832,0,Lady,Female,Black,0
surprise_im_back1,96037226,0,Skylar,Female,Brown,0
Tsukemaru,95853200,0,Mirage,Female,Black,0
ball4ly,95752855,0,Flaps,Male,Black,0
moonman_42069,95748941,0,Abby,Female,Brown,0
akariharris12,95748514,0,Moonlight,Female,Black,0
Moonman_is_god,95748232,0,Mittens,Female,Black,0
Galaxyerror,94633422,0,Abby,Female,Brown,0
progamerdude101,94200832,0,Dawnstar,Female,Red,0
xmerciplaysmcx,93498911,0,Equinox,Female,Black,0
dinnertimeTV,92981694,0,Aine,Female,Black,0
Filipinoboi51,92981566,0,Dawnstar,Female,Brown,0
madbirdplayz,92974698,0,Skylar,Female,Black,0
sour_angry,92971444,0,Blues,Male,Black,0
McChoonce,92971297,0,Vulkan,Male,Brown,0
WillsonteCat,91952863,0,Screech,Male,Black,0
Sabbertron,91943432,0,Twilight,Female,Black,0
Tankdrath,91934124,0,Ripmaw,Male,Brown,0
Wrabbit4444,91819231,0,Darth,Male,Red,0
chrisandthemikerocks,90340954,0,Velvet,Female,Black,0
Temparmy,90339454,0,Angel,Female,Black,0
thoughtcheese8,90338515,0,Sage,Female,Brown,0
donteruis,90333099,0,Ruth,Female,Black,0
frzze,90322418,0,Screech,Male,Black,0
Shadow2500,90316812,0,Scarlett,Female,Brown,0
cooldude556690,90314362,0,Moonlight,Female,Black,0
young_twipz,88609142,0,Cole,Male,Black,0
brandon_richter,88080612,0,Cole,Male,Brown,0
dj_k1n6p1n,88076054,0,Flutters,Female,Black,0
sivetrexx,88073429,0,Spuds,Male,Red,0
matthewboi,85014909,0,Drake,Male,Black,0
x_Dragonbreath_x,83342425,0,Vamp,Male,Brown,0
brentrules,83161759,0,Rascal,Male,Black,0
redtech1020,83150500,0,Vulkan,Male,Black,0
justb911,83144474,0,Draculon,Male,Brown,0
catsbollocks,82979129,0,Nibbles,Female,Black,0
SplitRaid,82920675,0,Aura,Female,Black,0
xdestroybangerzx,82586082,0,Sage,Female,Brown,0
masterkiko2002,81901094,0,Butch,Male,Red,0
screamurrdreamurr,81452218,0,Skylar,Female,Black,0
barebaricgalaxy,81420238,0,Rhyme,Female,Black,0
manu_best123,81259616,0,Illumina,Female,Brown,0
megustatupeloelm,80154602,0,Mirage,Female,Black,0
roffaogflanderos,80902909,0,Vulkan,Male,Black,0
stormhauk,80082730,0,Orion,Male,Brown,0
laceymorbid,79200244,0,Velvet,Female,Black,0
yourij0,78186581,0,Cookie,Female,Black,0
ventoes_dad,78183584,0,Trixy,Female,Brown,0
dreamsonar,78178514,0,Nibbles,Female,Red,0
TheGloriousKimJongUn,78176032,0,Skylar,Female,Black,0
Kankub123,78100125,0,Midnight,Male,Black,0
Pepperboy2002,77897571,0,Baxter,Male,Brown,0
moonoi,77894278,0,Sonar,Male,Black,0
korosh2003,76688524,0,Trixy,Female,Black,0
kevinkuz9,76680387,0,Cerulean,Female,Brown,0
piponeilgrande,76356069,0,Abby,Female,Black,0
liighwind,76355800,0,Lucy,Female,Black,0
TheShrubb3ry,76342064,0,Wingnut,Male,Brown,0
mhansen5,76182206,0,Cerulean,Female,Red,0
sireotnn,75840769,0,Shrike,Male,Black,0
atoruiz01,75645211,0,Sade,Female,Black,0
laoola,75641882,0,Rhyme,Female,Brown,0
h8vs,75637596,0,Skye,Female,Black,0
Catinspecs,75571633,0,Sabath,Male,Black,0
VenganceCathy,75307849,0,Nibbles,Female,Brown,0
hellhome2011,75206776,0,Drake,Male,Black,0
harcashbreak,75106049,0,Equina,Female,Black,0
Enigmatax,75098990,0,Cookie,Female,Brown,0
atsukiyou,75042105,0,Angel,Male,Red,0
deadlykiwio0,74682788,0,Vladimir,Male,Black,0
Naemesis,73846979,0,Indigo,Female,Black,0
girlygirl731,73777256,0,Sonar,Male,Brown,0
erlendstendal,73769759,0,Orion,Male,Black,0
ha8r_,73769581,0,Moonlight,Female,Black,0
lividjoker420,73209589,0,Sona,Female,Brown,0
InDaBowl,72322688,0,Indigo,Female,Black,0
Bigunsbigmoney,72321658,0,Trixy,Female,Black,0
Doge1232311,72320334,0,Mittens,Female,Brown,0
MasterreinGames,72104152,0,Sabath,Male,Red,0
crmix,71408133,0,Fuzz,Male,Black,0
spectrumyt10,70182771,0,Nibbles,Female,Black,0
xaviordanger1738,69594719,0,Shine,Female,Brown,0
Majestic_lace,69584759,0,Butch,Male,Black,0
the_nerdster,69080054,0,Sage,Female,Black,0
Eggceptional,69080034,0,Cerulean,Female,Brown,0
itz_wofq,68973516,0,Darth,Male,Black,0
stalin_pepe,68382450,0,Midnight,Male,Black,0
BunnyPlayss,68375741,0,Butch,Male,Brown,0
xAurionZz,68367164,0,Aura,Female,Red,0
bosspro1,67767693,0,Vulkan,Male,Black,0
FearEmpty,65966350,0,Wingnut,Male,Black,0
midnight_phantom1,65963823,0,Mothra,Male,Brown,0
chromeking23,65429878,0,Mittens,Female,Black,0
hybridofficial,65427463,0,Butch,Male,Black,0
desiigner_1panda,65427455,0,Dawnstar,Female,Brown,0
towerofpimps0603,65421850,0,Dexter,Male,Black,0
dRAGoNwinchester,64909116,0,Equina,Female,Black,0
cooljay118,64906862,0,Star,Female,Brown,0
