Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
ridgure,0,1,test123,Male,Black,1
yakuza_xi,111689857,1,Shrike,Male,Brown,0
XxYumYumCookiexX,111536512,1,Matrix,Male,Red,0
Coolguykiddler,111535083,1,Dawnstar,Female,Black,0
Onlyalonelygirl,111532885,1,Morticia,Female,Black,0
Pantonyt,111467605,1,Nyx,Male,Brown,0
NeverTrustCorridors,111446586,1,Nibbles,Female,Black,0
tunac4pt0r,111157138,1,Shadow,Male,Black,0
nawtnotnewt,111097082,1,Sonar,Male,Brown,0
Vanerson,111041371,1,Blade,Male,Black,0
Minecraftgurl1416,110945990,1,Star,Female,Black,0
telephone135,110943416,1,Baxter,Male,Brown,0
KingJosiahGaming,110943378,1,Siren,Female,Red,0
Baronhelmutschnitzelnazi,110941748,1,Lucifer,Male,Black,0
tortleworfore,110659271,1,Ripmaw,Male,Black,0
TigerHobbes,110659227,1,Sade,Female,Brown,0
brycebanks09,110399399,1,Skylar,Female,Black,0
kaptainpokemon,110232594,1,Blade,Male,Black,0
Lucasofgamers,109769371,1,Indigo,Female,Brown,0
howtominecraft3,109417693,1,Raine,Female,Black,0
Bow_____down,109116441,1,Draculon,Male,Black,0
misardian,97927824,0,Butch,Male,Brown,0
AsapCatFTW,109022372,1,Dimitri,Male,Red,0
ryanhalligandangled,108797569,1,Char,Male,Black,0
sticken,108764693,1,Illumina,Female,Black,0
Runicskate,108761636,1,Violet,Female,Brown,0
Go_to_heaven_360,108761594,1,Skylar,Female,Black,0
laxerz,108757037,1,Sage,Female,Black,0
epicmanjo,108754956,1,Morticia,Female,Brown,0
average_revolutioncraftnl,108575065,1,Vulkan,Male,Black,0
Average_Kevin,108574705,1,Blues,Male,Black,0
FakeViral,108573062,1,Blues,Male,Brown,0
RobertRo8,108313552,1,Sade,Female,Red,0
chemsauce,108126389,1,Sabath,Male,Black,0
Jon192,108124131,1,Sade,Female,Black,0
captain_raost,108121358,1,Fuzz,Male,Brown,0
ilikenojuice,108110765,1,Nugget,Female,Black,0
hussein_12345ali,107904120,1,Nibbles,Female,Black,0
jenzie2003,107889418,1,Booboo,Male,Brown,0
idavelthoven,107845067,1,Vladimir,Male,Black,0
persentile123,107810915,1,Star,Female,Black,0
danzathepariah,107807119,1,Comet,Male,Brown,0
liberace99,107732024,1,Twilight,Female,Red,0
Buddergod1,107720783,1,Aine,Female,Black,0
Blizzzzz22222,107720747,1,Shrike,Male,Black,0
bannananugget22,107715504,1,Ash,Male,Brown,0
makerofchaos1,107705658,1,Nugget,Female,Black,0
Jilly_1234567,107704936,1,Rhyme,Female,Black,0
blacklivesdontmatteratall,107703777,1,Lucy,Female,Brown,0
Kawad771,107701510,1,Vulkan,Male,Black,0
Roguez13,107701491,1,Lucifer,Male,Black,0
thetimeking_01,107699696,1,Baxter,Male,Brown,0
Icywhitesam,107697744,1,Scarlett,Female,Red,0
Big_bad_tom,107390789,1,Dawnstar,Female,Black,0
dopeimminent,107385681,1,Lady,Female,Black,0
surprise_im_back1,107147075,1,Skylar,Female,Brown,0
Tsukemaru,106963049,1,Mirage,Female,Black,0
ball4ly,106862704,1,Flaps,Male,Black,0
moonman_42069,106858790,1,Abby,Female,Brown,0
akariharris12,106858363,1,Moonlight,Female,Black,0
Moonman_is_god,106858081,1,Mittens,Female,Black,0
Galaxyerror,105743271,1,Abby,Female,Brown,0
progamerdude101,105310681,1,Dawnstar,Female,Red,0
xmerciplaysmcx,104608760,1,Equinox,Female,Black,0
dinnertimeTV,104091543,1,Aine,Female,Black,0
Filipinoboi51,104091415,1,Dawnstar,Female,Brown,0
madbirdplayz,104084547,1,Skylar,Female,Black,0
sour_angry,104081293,1,Blues,Male,Black,0
McChoonce,104081146,1,Vulkan,Male,Brown,0
WillsonteCat,103062712,1,Screech,Male,Black,0
Sabbertron,103053281,1,Twilight,Female,Black,0
Tankdrath,103043973,1,Ripmaw,Male,Brown,0
Wrabbit4444,102929080,1,Darth,Male,Red,0
chrisandthemikerocks,101450803,1,Velvet,Female,Black,0
Temparmy,101449303,1,Angel,Female,Black,0
thoughtcheese8,101448364,1,Sage,Female,Brown,0
donteruis,101442948,1,Ruth,Female,Black,0
frzze,101432267,1,Screech,Male,Black,0
Shadow2500,101426661,1,Scarlett,Female,Brown,0
cooldude556690,101424211,1,Moonlight,Female,Black,0
young_twipz,99718991,1,Cole,Male,Black,0
brandon_richter,99190461,1,Cole,Male,Brown,0
dj_k1n6p1n,99185903,1,Flutters,Female,Black,0
sivetrexx,99183278,1,Spuds,Male,Red,0
matthewboi,96124758,1,Drake,Male,Black,0
x_Dragonbreath_x,83966672,0,Vamp,Male,Brown,0
brentrules,94271608,1,Rascal,Male,Black,0
redtech1020,94260349,1,Vulkan,Male,Black,0
justb911,94254323,1,Draculon,Male,Brown,0
catsbollocks,94088978,1,Nibbles,Female,Black,0
SplitRaid,94030524,1,Aura,Female,Black,0
xdestroybangerzx,93695931,1,Sage,Female,Brown,0
masterkiko2002,93010943,1,Butch,Male,Red,0
screamurrdreamurr,92562067,1,Skylar,Female,Black,0
barebaricgalaxy,92530087,1,Rhyme,Female,Black,0
manu_best123,92369465,1,Illumina,Female,Brown,0
megustatupeloelm,80154602,0,Mirage,Female,Black,0
roffaogflanderos,92012758,1,Vulkan,Male,Black,0
stormhauk,91192579,1,Orion,Male,Brown,0
laceymorbid,90310093,1,Velvet,Female,Black,0
yourij0,89296430,1,Cookie,Female,Black,0
ventoes_dad,89293433,1,Trixy,Female,Brown,0
dreamsonar,89288363,1,Nibbles,Female,Red,0
TheGloriousKimJongUn,89285881,1,Skylar,Female,Black,0
Kankub123,89209974,1,Midnight,Male,Black,0
Pepperboy2002,89007420,1,Baxter,Male,Brown,0
moonoi,89004127,1,Sonar,Male,Black,0
korosh2003,87798373,1,Trixy,Female,Black,0
